Study_ID,response_var,Site,Climate,Biome,Time_Since_Fire,Effect_size,pd
Burd et al 2018,DOC_Interp,lnR1,Dfc,Cold,4,-0.8074667025846229,-55.401354732190214
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,1,-0.05198944083147036,-5.066110898069198
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,2,-0.23267430480315818,-20.758838384228596
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,3,-0.054856610268935284,-5.337912606507089
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,4,-0.33386212088645906,-28.384748210541368
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,5,-0.06876044186758228,-6.644970714232235
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,2,-0.02209144774333893,-2.1849218720493613
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,2,-0.09143869394625465,-8.738273659995988
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,2,-0.4759788799445507,-37.87233964947843
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,3,-0.30682413734353803,-26.422001424719543
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,3,-0.35352180878763056,-29.778932194247787
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,3,-0.41287873547224674,-33.82574761427954
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,4,-0.3312863465111103,-28.200045706228227
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,4,-0.4227882497149223,-34.47826391135794
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,4,-0.5499098148014181,-42.29981549399486
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,1,-0.19586948633799225,-17.788047449354327
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,1,-0.020582621477338737,-2.037224516154168
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,2,-0.09253034556904192,-8.837845312986815
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,2,-0.2794571534661146,-24.380587258163743
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,2,-0.5290874956151702,-41.085768057616725
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,3,-0.4059504771372809,-33.36568341710829
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,3,-0.42051599123248457,-34.32921231299855
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,3,-0.504700788827816,-39.63138219445017
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,4,-0.4838929792642086,-38.36208362657854
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,4,-0.5412446599785048,-41.79766198499808
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,4,-0.6939952120636859,-50.042383601332396
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,5,-0.3881077782646473,-32.16607709008385
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,5,-0.5762560227751916,-43.80014576500607
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,5,-0.7185013536732262,-51.25177276780466
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,6,-0.3676420649753068,-30.76350409893057
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,6,-0.5510697334216398,-42.36670421215937
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,6,-0.7218292413374722,-51.41373175173975
Rhea et al. 2021,DOC_Interp,lnR1,Dfc,Cold,15,0.4142753540035392,51.32737555086124
Uzun et al. 2020,DOC_Interp,lnR1,Csa,Temperate,2,-3.5873302571008643,-97.23278906885656
Uzun et al. 2020,DOC_Interp,lnR2,Csa,Temperate,2,-2.781397262801667,-93.80481161892341
Uzun et al. 2020,DOC_Interp,lnR1,Csa,Temperate,3,-3.488635457510704,-96.9457479683875
Uzun et al. 2020,DOC_Interp,lnR2,Csa,Temperate,3,-2.8617192837255008,-94.28296163891132
Wagner et al. 2015,DOC_Interp,lnR1,Dfb,Cold,2,-0.42175739487288677,-34.410685686766776
Wagner et al. 2015,DOC_Interp,lnR2,Dfb,Cold,2,-0.6091057775083416,-45.61630370518657
Writer et al. 2014,DOC_Interp,lnR1,Dfb,Cold,1,-0.36514805851470156,-30.590612323858167
Writer et al. 2014,DOC_Interp,lnR2,Dfb,Cold,1,-0.4623748929438658,-37.02138067201853
Writer et al. 2014,DOC_Interp,lnR1,Dfb,Cold,2,-0.619805853304341,-46.19511121313087
Writer et al. 2014,DOC_Interp,lnR2,Dfb,Cold,2,-0.39946342771866483,-32.932018229491376
Hickenbottom et al. 2023,DOC_Interp,lnR1,Csb,Temperate,1,0.6030917563718091,82.77610655619434
Hickenbottom et al. 2023,DOC_Interp,lnR1,Csb,Temperate,2,-0.004829024442120025,-0.4817383449339796
Hickenbottom et al. 2023,DOC_Interp,lnR2,Csb,Temperate,2,0.2765406443670772,31.85605436874168
Crandall et al. 2021,DOC_Interp,lnR1,Csa,Temperate,1,0.809328715796117,124.63995079188601
Crandall et al. 2021,DOC_Interp,lnR2,Csa,Temperate,1,-0.501232466511102,-39.421640855054626
Crandall et al. 2021,DOC_Interp,lnR3,Csa,Temperate,1,0.62791521729215,87.37002467097585
Crandall et al. 2021,DOC_Interp,lnR4,Csa,Temperate,1,0.802869522035744,123.19363387251218
Abbott et al. 2021,DOC_Interp,lnR1,Dwc,Cold,10,0.428539313567996,53.501371149300155
Abbott et al. 2021,DOC_Interp,lnR1,Dwc,Cold,10,0.404794545407272,49.89944931140455
Rhea et al. 2021,DOC_Interp,lnR1,Dfc,Cold,15,0.67513692475464,96.43019191152537
Rhea et al. 2021,DOC_Interp,lnR2,Dfc,Cold,15,-0.774248595960927,-53.89499142280667
Rhea et al. 2021,DOC_Interp,lnR3,Dfc,Cold,15,-0.786783811960335,-54.46932047420023
