Site,comid,Precip9120Ws,Tmax9120Ws,Tmean9120Ws,Tmin9120Ws
Site_3,8943613,1329.993858325441,12.184283649541445,5.641431656609854,-0.9013288801184081
Reference,15032969,797.877511188483,21.34927526334567,15.08651405482774,8.822992165735046
Payson,10350360,641.3220566701506,13.29808599169253,7.164412105008829,1.0309884947460108
Dry_Creek,10329181,402.1571033330329,18.256177425793428,11.234466065660104,4.2127508460639795
San_Onofre,17594757,660.5254679383607,21.52905833854552,16.317102083070207,11.105421805970776
Gaviota,17594763,599.6517063520921,21.66554481947431,15.89228102583386,10.118542905370301
Arroyo_Hondo,17594741,676.0143690363325,21.510584849884136,16.3413555077491,11.171746947187213
Rattlesnake,14937281,559.539684361667,20.48844696162417,13.76209667548625,7.036085341149429
Crow_Creek,12794143,860.0706867783106,7.136861702489274,0.7173463621877456,-5.702278748671088
Jones_Creek,12794005,884.6754914604173,6.952116369558592,0.4710590694609161,-6.01025392370667
Red_Bench_Creek,22950879,934.076439619313,9.745795150324978,3.8193474723537615,-2.1065691458263696
Wally_Creek,22950913,1183.2230280520732,8.175391799132111,2.8102050159787852,-2.5550999296528447
Red_Meadow_Creek,22949989,1204.7601273552134,8.324541433376616,2.8453005487947634,-2.6342208604178383
Coal_Creek,22950067,1174.39154182839,8.707388178265049,3.0925332270923724,-2.5221391800511324
Logging_Creek,22949389,1262.4960041074985,8.948143019203481,3.2556229374619616,-2.4371297673136914
Akokala_Creek,22949619,1187.7762847662839,8.697525387333629,3.1320728767637482,-2.432832547683306
Bowman_Creek,22949571,1402.7416797586334,7.936435664060217,2.5710548672251075,-2.79406789416374
Quartz_Creek,22949475,1351.9659993698776,8.40746203829575,2.8988821638671873,-2.609788448684895
Trout_Creek,8944501,995.9993204947042,12.11835669483069,5.5966577806643985,-0.925364066407899
Cold_Creek,8944471,883.1820115099824,11.217949632908093,5.067048362653578,-1.0834686094393813
Middle_Fork,14997923,1598.5393074658434,16.47717629385484,10.573784407789097,4.670589279631366
North_Fork,14997117,1656.8856227221556,17.56184443833002,11.50417311586201,5.446609860695162
Coal,22957705,1355.135729278453,8.085794114353023,2.7956171906009213,-2.4943834950626385
Pinchot,22957733,1525.6697785037322,7.3823775930192435,2.1894560558679177,-3.0036141504395335
Fish_Creek,22958009,962.0037108152644,10.202098321039818,4.18510349069675,-1.8317460645842656
Lower_MacDonald_Creek,22957903,1357.3264413690913,8.796027595131827,3.1820093325632715,-2.431832073417813
Upper_MacDonald_Creek,22957933,1580.6770934516026,7.78373169802849,2.4129801696773416,-2.9574813276842273
DS1,2889268,575.1299180658973,11.967059454296777,5.5185964333584225,-0.9299217869931892
DS2,2889346,567.5207179916725,13.136412093884449,6.538772875554953,-0.05888624115847978
DS3,2889356,567.5192122464987,13.13677221425912,6.539054760481682,-0.05868251768360101
US1,2889272,585.1599385939065,11.21620919817352,4.8482371354932825,-1.5195847819365451
US2,2889272,585.1599385939065,11.21620919817352,4.8482371354932825,-1.5195847819365451
Crane_Creek,11750409,1908.230338691792,19.694436351373408,13.855111225979194,8.014858871299653
Wash_Branch,11750421,1838.4031159476824,20.13870445020495,14.22942875931617,8.319689508907416
Control,8943655,1305.558964575456,12.605261505993369,6.352087815443782,0.09949214526162521
Site_1,8943617,1092.9302174196607,13.57353839021089,6.647649914256082,-0.27811760675141706
Site_2,8943617,1092.9302174196607,13.57353839021089,6.647649914256082,-0.27811760675141706
Camas_Creek,23075361,645.8508057640009,11.618947222977646,6.6022530105323805,1.585415126794192
Grade_Creek,23074473,867.4413390725068,10.249401371308405,5.333271386730873,0.4167412575640166
Rocky_Fire,8009327,907.7217117878113,21.71593907915523,14.764572877309845,7.813423378398461
Wragg_Fire,15032969,797.877511188483,21.34927526334567,15.08651405482774,8.822992165735046
PBR,2899241,732.7695396448137,7.894045254496372,1.281832348081725,-5.3302839964360995
PSF,2899449,696.1953147758546,8.422029390054115,1.7876784554679628,-4.8465501062491105
PNF,2900989,629.6743885693506,9.729551624060726,3.0749065512333646,-3.5795777383201783
Benjamin_Slough,10349048,496.4424011121656,16.5342986042676,9.81364665442446,3.093145356036134
Hobble_Creek_Lower,10348934,699.4750519207124,13.629993362337137,7.39166412442371,1.1535708655363517
Hobble_Creek_Upper,10348934,699.4750519207124,13.629993362337137,7.39166412442371,1.1535708655363517
Mill_Race,10376606,579.4401322892983,16.18168859663286,9.882367500779194,3.5825375498556573
Mitsubishi_Race,10329067,635.0544582735276,15.403957112912417,9.23949526597361,3.0753255477331525
Provo_River,10376192,690.8482673694799,12.55525690811968,5.9031678434469335,-0.7487504538369051
Spanish_Fork_Lower,10349108,588.5727617981246,13.805346391464365,6.968545527200243,0.13198487508361814
Spanish_Fork_Upper,10349244,569.2250049596158,13.737351740215628,6.785738770537139,-0.16563338277272613
